Location.ID,District,popgroup,Stratum,population
1202009,Erbil,idp,Erbil,140
1202010,Erbil,idp,Erbil,500
1202013,Erbil,idp,Erbil,210
1202014,Erbil,idp,Erbil,170
1202016,Erbil,idp,Erbil,360
1202018,Erbil,idp,Erbil,345
1202020,Erbil,idp,Erbil,106
1202021,Erbil,idp,Erbil,60
1202023,Erbil,idp,Erbil,168
1202024,Erbil,idp,Erbil,330
1202025,Erbil,idp,Erbil,145
1202026,Erbil,idp,Erbil,72
1202027,Erbil,idp,Erbil,300
1202028,Erbil,idp,Erbil,169
1202030,Erbil,idp,Erbil,282
1202031,Erbil,idp,Erbil,85
1202032,Erbil,idp,Erbil,1150
1202033,Erbil,idp,Erbil,160
1202034,Erbil,idp,Erbil,182
1202035,Erbil,idp,Erbil,15
1202036,Erbil,idp,Erbil,375
1202038,Shaqlawa,idp,Shaqlawa,18
1202039,Erbil,idp,Erbil,195
1202040,Al-Hamdaniya,idp,Al-Hamdaniya,3665
1202041,Erbil,idp,Erbil,45
1202042,Erbil,idp,Erbil,90
1202043,Erbil,idp,Erbil,145
1202044,Erbil,idp,Erbil,100
1202045,Erbil,idp,Erbil,160
1202046,Erbil,idp,Erbil,320
1202047,Erbil,idp,Erbil,1500
1202048,Erbil,idp,Erbil,224
1202049,Erbil,idp,Erbil,171
1202050,Erbil,idp,Erbil,280
1202051,Erbil,idp,Erbil,34
1202053,Erbil,idp,Erbil,20
1202054,Erbil,idp,Erbil,230
1202056,Erbil,idp,Erbil,355
1202057,Erbil,idp,Erbil,1235
1202059,Erbil,idp,Erbil,200
1202060,Erbil,idp,Erbil,705
1202061,Erbil,idp,Erbil,77
1202062,Al-Hamdaniya,idp,Al-Hamdaniya,30
1202063,Erbil,idp,Erbil,300
1202065,Erbil,idp,Erbil,57
1202066,Erbil,idp,Erbil,750
1202067,Erbil,idp,Erbil,11
1202068,Erbil,idp,Erbil,200
1202069,Erbil,idp,Erbil,528
1202070,Erbil,idp,Erbil,229
1202071,Erbil,idp,Erbil,100
1202073,Erbil,idp,Erbil,147
1202075,Erbil,idp,Erbil,620
1202076,Erbil,idp,Erbil,1440
1202077,Erbil,idp,Erbil,860
1202078,Erbil,idp,Erbil,430
1202079,Erbil,idp,Erbil,60
1202080,Erbil,idp,Erbil,440
1202091,Erbil,idp,Erbil,17
1202094,Erbil,idp,Erbil,43
1202095,Erbil,idp,Erbil,122
1202096,Erbil,idp,Erbil,480
1202097,Erbil,idp,Erbil,15
1202098,Erbil,idp,Erbil,112
1202099,Erbil,idp,Erbil,120
1202100,Erbil,idp,Erbil,162
1202101,Erbil,idp,Erbil,18
1202103,Erbil,idp,Erbil,158
1202104,Erbil,idp,Erbil,18
1202106,Erbil,idp,Erbil,75
1202108,Erbil,idp,Erbil,80
1202109,Erbil,idp,Erbil,245
1202110,Erbil,idp,Erbil,65
1202111,Erbil,idp,Erbil,302
1202112,Erbil,idp,Erbil,55
1202113,Erbil,idp,Erbil,235
1202114,Erbil,idp,Erbil,95
1202115,Erbil,idp,Erbil,95
1202116,Erbil,idp,Erbil,170
1202117,Erbil,idp,Erbil,287
1202118,Erbil,idp,Erbil,244
1202119,Erbil,idp,Erbil,156
1202120,Erbil,idp,Erbil,209
1202121,Erbil,idp,Erbil,28
1202122,Erbil,idp,Erbil,30
1202124,Erbil,idp,Erbil,208
1202125,Erbil,idp,Erbil,48
1202126,Erbil,idp,Erbil,500
1202127,Erbil,idp,Erbil,70
1202128,Erbil,idp,Erbil,18
1202129,Erbil,idp,Erbil,25
1202130,Erbil,idp,Erbil,20
1202131,Erbil,idp,Erbil,225
1202132,Erbil,idp,Erbil,40
1202133,Erbil,idp,Erbil,400
1202134,Erbil,idp,Erbil,112
1202135,Erbil,idp,Erbil,150
1202136,Erbil,idp,Erbil,525
1202137,Erbil,idp,Erbil,275
1202138,Erbil,idp,Erbil,270
1202139,Erbil,idp,Erbil,40
1202140,Erbil,idp,Erbil,126
1202142,Erbil,idp,Erbil,325
1202146,Erbil,idp,Erbil,70
1202147,Erbil,idp,Erbil,45
1202148,Erbil,idp,Erbil,65
1203001,Koysinjaq,idp,Koysinjaq,17
1203002,Koysinjaq,idp,Koysinjaq,91
1203003,Koysinjaq,idp,Koysinjaq,103
1203004,Koysinjaq,idp,Koysinjaq,97
1203006,Koysinjaq,idp,Koysinjaq,59
1203007,Koysinjaq,idp,Koysinjaq,17
1203008,Koysinjaq,idp,Koysinjaq,18
1203009,Koysinjaq,idp,Koysinjaq,97
1203010,Koysinjaq,idp,Koysinjaq,237
1203014,Koysinjaq,idp,Koysinjaq,20
1203015,Koysinjaq,idp,Koysinjaq,10
1203016,Koysinjaq,idp,Koysinjaq,18
1205001,Rawanduz,idp,Rawanduz,26
1206003,Shaqlawa,idp,Shaqlawa,62
1206004,Shaqlawa,idp,Shaqlawa,100
1206006,Shaqlawa,idp,Shaqlawa,95
1206007,Shaqlawa,idp,Shaqlawa,35
1206008,Shaqlawa,idp,Shaqlawa,93
1206010,Shaqlawa,idp,Shaqlawa,70
1206011,Shaqlawa,idp,Shaqlawa,70
1206012,Shaqlawa,idp,Shaqlawa,80
1206013,Shaqlawa,idp,Shaqlawa,46
1206014,Shaqlawa,idp,Shaqlawa,50
1206015,Shaqlawa,idp,Shaqlawa,140
1206017,Shaqlawa,idp,Shaqlawa,44
1206020,Shaqlawa,idp,Shaqlawa,6
1206022,Shaqlawa,idp,Shaqlawa,6
1207002,Rawanduz,idp,Rawanduz,30
1207003,Rawanduz,idp,Rawanduz,40
1207004,Rawanduz,idp,Rawanduz,310
1207006,Rawanduz,idp,Rawanduz,16
1207008,Rawanduz,idp,Rawanduz,13
1207009,Rawanduz,idp,Rawanduz,13
1207010,Rawanduz,idp,Rawanduz,8
1207011,Rawanduz,idp,Rawanduz,8
1207012,Rawanduz,idp,Rawanduz,12
1207015,Rawanduz,idp,Rawanduz,12
1207017,Rawanduz,idp,Rawanduz,20
1301003,Chamchamal,idp,Chamchamal,188
1301004,Chamchamal,idp,Chamchamal,205
1301005,Chamchamal,idp,Chamchamal,72
1301006,Chamchamal,idp,Chamchamal,198
1301007,Chamchamal,idp,Chamchamal,35
1301010,Chamchamal,idp,Chamchamal,66
1301012,Chamchamal,idp,Chamchamal,41
1301014,Chamchamal,idp,Chamchamal,7
1301016,Chamchamal,idp,Chamchamal,82
1301017,Chamchamal,idp,Chamchamal,50
1301018,Chamchamal,idp,Chamchamal,42
1301019,Chamchamal,idp,Chamchamal,18
1301021,Chamchamal,idp,Chamchamal,30
1301023,Chamchamal,idp,Chamchamal,18
1301024,Chamchamal,idp,Chamchamal,30
1301025,Chamchamal,idp,Chamchamal,13
1301027,Chamchamal,idp,Chamchamal,11
1301031,Chamchamal,idp,Chamchamal,37
1301032,Chamchamal,idp,Chamchamal,6
1301033,Chamchamal,idp,Chamchamal,7
1301037,Chamchamal,idp,Chamchamal,11
1301040,Chamchamal,idp,Chamchamal,9
1301041,Chamchamal,idp,Chamchamal,8
1301043,Koysinjaq,idp,Koysinjaq,7
1301045,Chamchamal,idp,Chamchamal,94
1301046,Chamchamal,idp,Chamchamal,67
1301047,Chamchamal,idp,Chamchamal,92
1301049,Chamchamal,idp,Chamchamal,7
1301050,Chamchamal,idp,Chamchamal,6
1302001,Derbendikhan,idp,Derbendikhan,34
1302002,Derbendikhan,idp,Derbendikhan,100
1302003,Derbendikhan,idp,Derbendikhan,80
1302004,Derbendikhan,idp,Derbendikhan,119
1302005,Derbendikhan,idp,Derbendikhan,85
1302007,Derbendikhan,idp,Derbendikhan,10
1302008,Derbendikhan,idp,Derbendikhan,23
1302009,Derbendikhan,idp,Derbendikhan,85
1302010,Derbendikhan,idp,Derbendikhan,120
1302011,Derbendikhan,idp,Derbendikhan,25
1302012,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,36
1302013,Derbendikhan,idp,Derbendikhan,18
1302014,Derbendikhan,idp,Derbendikhan,33
1302016,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,9
1302017,Derbendikhan,idp,Derbendikhan,9
1303002,Dokan,idp,Dokan,64
1303003,Dokan,idp,Dokan,26
1303005,Dokan,idp,Dokan,7
1303006,Dokan,idp,Dokan,40
1303009,Dokan,idp,Dokan,17
1303011,Dokan,idp,Dokan,93
1303012,Dokan,idp,Dokan,103
1303013,Dokan,idp,Dokan,95
1303014,Dokan,idp,Dokan,40
1303015,Dokan,idp,Dokan,52
1303016,Dokan,idp,Dokan,68
1303017,Dokan,idp,Dokan,16
1303018,Dokan,idp,Dokan,10
1303019,Dokan,idp,Dokan,19
1303020,Dokan,idp,Dokan,11
1303025,Dokan,idp,Dokan,34
1303033,Dokan,idp,Dokan,8
1303034,Dokan,idp,Dokan,8
1303035,Dokan,idp,Dokan,6
1303036,Dokan,idp,Dokan,60
1303037,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,21
1303038,Dokan,idp,Dokan,16
1303039,Dokan,idp,Dokan,11
1303040,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,44
1303041,Dokan,idp,Dokan,6
1303042,Dokan,idp,Dokan,6
1303043,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1303044,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,11
1304002,Halabcha,idp,Halabcha,11
1304004,Derbendikhan,idp,Derbendikhan,30
1304006,Halabcha,idp,Halabcha,53
1304007,Halabcha,idp,Halabcha,17
1304008,Halabcha,idp,Halabcha,14
1304009,Halabcha,idp,Halabcha,7
1304010,Halabcha,idp,Halabcha,12
1304012,Halabcha,idp,Halabcha,26
1304014,Halabcha,idp,Halabcha,24
1304015,Derbendikhan,idp,Derbendikhan,23
1304016,Derbendikhan,idp,Derbendikhan,21
1304018,Halabcha,idp,Halabcha,41
1304019,Derbendikhan,idp,Derbendikhan,34
1304020,Halabcha,idp,Halabcha,10
1304021,Halabcha,idp,Halabcha,14
1304023,Halabcha,idp,Halabcha,16
1304024,Halabcha,idp,Halabcha,11
1304025,Derbendikhan,idp,Derbendikhan,31
1304026,Halabcha,idp,Halabcha,22
1304027,Halabcha,idp,Halabcha,11
1304028,Halabcha,idp,Halabcha,13
1304033,Halabcha,idp,Halabcha,30
1304035,Halabcha,idp,Halabcha,22
1304036,Halabcha,idp,Halabcha,8
1304037,Derbendikhan,idp,Derbendikhan,50
1304038,Derbendikhan,idp,Derbendikhan,45
1304039,Halabcha,idp,Halabcha,47
1304041,Derbendikhan,idp,Derbendikhan,26
1304043,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,47
1304044,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,36
1304045,Halabcha,idp,Halabcha,29
1304046,Halabcha,idp,Halabcha,36
1304047,Halabcha,idp,Halabcha,10
1304049,Halabcha,idp,Halabcha,12
1304051,Halabcha,idp,Halabcha,11
1304052,Derbendikhan,idp,Derbendikhan,28
1304053,Halabcha,idp,Halabcha,71
1305001,Kalar,idp,Kalar,84
1305002,Kifri,idp,Kifri,47
1305003,Kalar,idp,Kalar,79
1305004,Kalar,idp,Kalar,47
1305005,Kalar,idp,Kalar,79
1305006,Kalar,idp,Kalar,37
1305007,Kalar,idp,Kalar,117
1305008,Kalar,idp,Kalar,95
1305009,Kalar,idp,Kalar,202
1305010,Kalar,idp,Kalar,58
1305011,Kalar,idp,Kalar,71
1305013,Kalar,idp,Kalar,39
1305014,Khanaqin,idp,Khanaqin,343
1305015,Kalar,idp,Kalar,42
1305018,Kalar,idp,Kalar,153
1305019,Kifri,idp,Kifri,207
1305020,Kalar,idp,Kalar,46
1305021,Kalar,idp,Kalar,51
1305023,Kifri,idp,Kifri,39
1305024,Kifri,idp,Kifri,14
1305025,Kifri,idp,Kifri,11
1305026,Kifri,idp,Kifri,14
1305027,Kifri,idp,Kifri,8
1305029,Kifri,idp,Kifri,6
1305031,Kalar,idp,Kalar,92
1305032,Kalar,idp,Kalar,101
1305033,Kalar,idp,Kalar,179
1305034,Kifri,idp,Kifri,190
1305035,Kifri,idp,Kifri,120
1305036,Kifri,idp,Kifri,229
1305037,Kalar,idp,Kalar,113
1305038,Kalar,idp,Kalar,139
1305039,Kalar,idp,Kalar,57
1305040,Kalar,idp,Kalar,245
1305041,Kalar,idp,Kalar,21
1305042,Kalar,idp,Kalar,88
1305043,Kalar,idp,Kalar,51
1305044,Kalar,idp,Kalar,24
1305045,Kalar,idp,Kalar,86
1305046,Kalar,idp,Kalar,95
1305047,Kalar,idp,Kalar,10
1305048,Kalar,idp,Kalar,9
1308001,Rania,idp,Rania,6
1308003,Rania,idp,Rania,81
1308004,Rania,idp,Rania,23
1308005,Rania,idp,Rania,14
1308006,Rania,idp,Rania,24
1308009,Rania,idp,Rania,12
1308010,Rania,idp,Rania,8
1308011,Rania,idp,Rania,45
1308013,Rania,idp,Rania,13
1308014,Rania,idp,Rania,11
1308018,Rania,idp,Rania,32
1308019,Rania,idp,Rania,18
1308020,Rania,idp,Rania,10
1308021,Rania,idp,Rania,33
1308022,Rania,idp,Rania,19
1308023,Rania,idp,Rania,10
1308025,Rania,idp,Rania,13
1308029,Rania,idp,Rania,12
1308030,Rania,idp,Rania,11
1308031,Rania,idp,Rania,7
1308032,Rania,idp,Rania,10
1308033,Rania,idp,Rania,12
1308034,Rania,idp,Rania,8
1308036,Rania,idp,Rania,9
1308038,Rania,idp,Rania,14
1310001,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,22
1310003,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,169
1310006,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,13
1310007,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,104
1310008,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,13
1310009,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,123
1310010,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,80
1310011,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,34
1310012,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,181
1310013,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,154
1310014,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,62
1310015,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,51
1310017,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,101
1310018,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,157
1310019,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,44
1310021,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,27
1310022,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,61
1310023,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,21
1310024,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,27
1310025,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,65
1310026,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,19
1310027,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,38
1310028,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,30
1310029,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,161
1310030,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,56
1310031,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,50
1310032,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1310033,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,33
1310034,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,123
1310035,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,50
1310036,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,117
1310038,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,264
1310039,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,83
1310040,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,20
1310041,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,28
1310042,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,100
1310043,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,82
1310044,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,89
1310045,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,60
1310046,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,22
1310047,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,46
1310048,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,91
1310049,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,26
1310051,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,6
1310052,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,128
1310053,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,59
1310054,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,56
1310055,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,67
1310057,Chamchamal,idp,Chamchamal,50
1310059,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,61
1310060,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,260
1310061,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,91
1310062,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,102
1310063,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,11
1310064,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,247
1310065,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,84
1310066,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,27
1310067,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,68
1310069,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,23
1310070,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,49
1310071,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,233
1310072,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,30
1310073,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,57
1310075,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,48
1310076,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,31
1310078,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,20
1310080,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,6
1310081,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1310082,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1310083,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,10
1310084,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,42
1310087,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,49
1310088,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,156
1310089,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,113
1310090,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,62
1310091,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,86
1310092,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,63
1310093,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,224
1310094,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,360
1310095,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,19
1310096,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,59
1310097,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,44
1310098,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,43
1310099,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,99
1310100,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,129
1310101,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,36
1310102,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,74
1310103,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,50
1310104,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,40
1310105,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,41
1310106,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,48
1310107,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,48
1310109,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,363
1310110,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,14
1310111,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,12
1310112,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,14
1310113,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,157
1310114,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,96
1310116,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,54
1310122,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,133
1310123,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,28
1310124,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,108
1310125,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1310126,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,26
1310127,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,45
1310128,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,12
1310130,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1310132,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,27
1310134,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,6
1310136,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,7
1310137,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,19
1310138,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,9
1310139,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,8
1310140,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,13
1310141,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,16
1310142,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,65
1310143,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,89
1310144,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,24
1310145,Al-Sulaymaniyah,idp,Al-Sulaymaniyah,20
